,Returns,Volatility,Sharpe Ratio,BTC Weight,ETH Weight,LTC Weight
1053,0.9333241596786266,0.7304694544873567,1.2601636542040058,0.08008833808722583,0.29475315172870886,0.5469864199768464
1054,1.1107667397718894,0.6204770002924433,1.5146493526858318,0.3790651633207866,0.3545818389208723,0.2246116340247491
1055,0.8950319964516724,0.5951945783767502,1.3722875343082066,0.6149139542291704,0.22201544018121394,0.08548887684320029
1056,0.8663517884605643,0.5074532214356872,1.482956968766879,0.1733312911831491,0.29155595224127157,0.26281809921242527
1057,0.8773270852889401,0.5377010823205057,1.441320112322272,0.44581649676542884,0.23894395579327812,0.15122337024694826
1058,0.7830103049523787,0.44357012880841196,1.5263754150727165,0.41597663233685944,0.24260928174739424,0.045430274321034414
1059,0.7030504346492117,0.5694550715485944,1.2149241231303352,0.3078526901856518,0.03932776710986264,0.4638143353720313
1060,1.264423648181026,0.6637013301712786,1.5605065356404286,0.21979427289687853,0.5307495345035851,0.12637040695197538
1061,0.9885396395321906,0.5958815247620413,1.4527732342356943,0.5409449687821455,0.2482415497624575,0.18579982891068286
1062,0.6107896474067074,0.4457601912809826,1.2930757299496571,0.4157387090686144,0.13094744231026723,0.1676426419363928
1063,0.4930408341751815,0.38585578873942783,1.231730732137371,0.45124511165067216,0.02543347170452335,0.15552926720839064
1064,0.944273032672412,0.51201619925922,1.5524136000814284,0.0007688670399597332,0.4104052159194538,0.14874831955194792
1065,0.904465852074329,0.5793068388731577,1.3991328681311104,0.09030280491744029,0.3126598596881773,0.34936531511362307
1066,0.8694947807006954,0.4713208215542299,1.563981576621648,0.32235873978318363,0.22310884266829983,0.19851109315377077
1067,0.46361613291412285,0.3384401392127801,1.2945450243372925,0.3950645046267448,0.008724084178617031,0.12185094051010141
1068,0.5246844119478609,0.5042424633932869,1.0799513178863733,0.0508621937644963,0.030538407306007914,0.485202094717255
1069,0.978728831047216,0.6292742293435282,1.3943696789304814,0.09337675739794044,0.3170413121599225,0.39106253188315626
1070,0.6002859444061146,0.4298441868365667,1.3077761136996007,0.41896536661563827,0.0529298139420321,0.2290675598696863
1071,0.6899129199174783,0.5367071242073123,1.2436201555136186,0.29877935296832,0.11697661461067788,0.3826755224801272
1072,0.6974035486788248,0.4750306320359232,1.3497282442701741,0.23609303051402403,0.14892991503681277,0.3006510235738497
1073,0.8385307833675852,0.48587104393163594,1.4968445338409053,0.32469231382364483,0.2451016167013111,0.18348986433725795
1074,0.9350653990002664,0.5035397137699288,1.5599738883948904,0.12907941572903014,0.43978621013827235,0.0630902731280698
