,Returns,Volatility,Sharpe Ratio,Threshold
0,176.60072723630066,66.33602626101725,1.8652835923477662,1.0
1,176.609608969656,66.33281654696557,1.8653926722833558,1.5
2,176.74183825809547,66.33776375746568,1.8660238316092372,2.0
3,177.34364201302495,66.36116783491714,1.8688684364655672,2.5
4,177.93757184435398,66.35663186870805,1.8721673715294271,3.0
5,178.2478755123466,66.36785489010761,1.8736431510191294,3.5
6,179.2433991596912,66.3774406492247,1.8788386997186968,4.0
7,179.22111452793072,66.36002784367297,1.8790719312880089,4.5
8,179.29522260266793,66.36179291340692,1.879467037258442,5.0
9,179.74477372651947,66.39127931703108,1.8813735076601878,5.5
10,180.1082283668284,66.47067415373473,1.881771462394922,6.0
11,179.64496610463448,66.45798796994923,1.8794952380689878,6.5
12,180.16892104345547,66.45520257899679,1.8823944814210112,7.0
13,181.3179379675239,66.46121893177673,1.8884600535563867,7.5
14,182.49312890049936,66.46410359326971,1.894617433671916,8.0
15,183.7366369443806,66.4636647240294,1.9012372263070763,8.5
16,185.24162258406955,66.48608959242198,1.9086511159310737,9.0
17,183.73151952777397,66.47263644443137,1.9009755287262364,9.5
18,184.41099792445263,66.52185726098534,1.9036935008973759,10.0
19,183.6438741218958,66.55698658188011,1.8989219193500135,10.5
20,183.1194469926104,66.50448567493879,1.897161031975045,11.0
21,183.23946979157205,66.51993571638944,1.8974959540775378,11.5
22,183.11993044080603,66.53735280958885,1.8965067874536157,12.0
23,182.3999408102829,66.4671321367715,1.8940558896397257,12.5
24,185.1583064242484,66.58709673762635,1.9063425278892552,13.0
25,185.679854886139,66.55481355439551,1.9097486120142484,13.5
26,186.4545730084286,66.71396060390394,1.9105785582644974,14.0
27,188.09670240878927,66.49087985242545,1.9236438045519837,14.5
28,187.96172484490947,66.53004303777995,1.9222177196899466,15.0
29,188.57800599892633,66.60720798892083,1.9239455118166418,15.5
30,189.25029883337493,66.64038147280034,1.9267472549448148,16.0
31,189.00318071660598,66.71436610526817,1.9239377970722138,16.5
32,190.32243462453158,66.77543229430395,1.929587013240093,17.0
33,190.83736095467597,66.81650750556997,1.9314565754188529,17.5
34,190.86459269453164,66.70059191690191,1.933902511142699,18.0
35,191.22057434484122,66.5225101368651,1.9391586301869013,18.5
36,191.979895842407,66.60264384193802,1.941582781674426,19.0
37,196.42739292181224,66.68880698645879,1.9625639139313809,19.5
38,196.19069758590751,66.65566117764101,1.9618617015169726,20.0
39,197.03209285984224,66.55752087966964,1.9681368589939243,20.5
40,196.56529324845607,66.64707996784269,1.9640702292182524,21.0
41,199.20706943821753,66.79385551719044,1.9742417624587645,21.5
42,198.0260312170855,67.02441106422289,1.9637890611863509,22.0
43,197.83043297052245,66.96797079234891,1.963806940906588,22.5
44,197.96274714829906,66.87722784063436,1.9662253270391543,23.0
45,195.53184477405546,66.7035085112285,1.9575978708826884,23.5
46,196.29657169847485,66.9585843854248,1.9563655103888358,24.0
47,198.22020404437262,67.14013833944243,1.9621563617029771,24.5
48,201.77861100006552,67.04752534769734,1.9818714441586749,25.0
49,199.8312904962636,66.83368154383939,1.9766953564523746,25.5
50,197.3037234325607,67.03761170788265,1.959604501595922,26.0
51,196.15387617944523,66.73255586316765,1.9600122809318927,26.5
52,198.8371312137837,66.9129105083305,1.96991160569823,27.0
53,199.7393746115083,66.99057711893349,1.9726069795737713,27.5
54,199.7871324478456,66.81668692607687,1.9764557995496261,28.0
55,199.71083154887162,67.00257603802764,1.9725773468282157,28.5
56,197.81957585129413,66.90552860791166,1.965032223064708,29.0
57,193.4495751671375,66.72316222053429,1.9464804731028127,29.5
58,195.3725032758029,66.96850111549968,1.9515464277230063,30.0
59,194.75727690126243,66.94979979394476,1.9487500632077672,30.5
60,196.23601888391923,66.99970499945312,1.955336260311759,31.0
61,197.51439675056344,66.98337317006869,1.962155506618431,31.5
62,196.1683758395952,67.12282786642275,1.9527032006948615,32.0
63,199.05100535258117,67.01086652187311,1.9694460022596079,32.5
64,200.53526903290347,67.22828396104676,1.9724977661174676,33.0
65,196.3082521938897,67.46808550082504,1.946611408309627,33.5
66,193.4229497180545,67.41018249105989,1.9331956171134763,34.0
67,196.254347498735,67.58244944651453,1.944092468315372,34.5
68,196.24700425605002,67.58341431266322,1.9440375792696925,35.0
69,196.4852743896772,67.45720754472912,1.9477707255217926,35.5
70,199.21190481621122,67.59315157210229,1.9584873569686174,36.0
71,201.11359851633375,67.37830316111044,1.9717519204355838,36.5
72,192.97798332757066,67.69580145484143,1.9256497667303256,37.0
73,197.845343044905,67.33422390329355,1.95636694070269,37.5
74,197.845343044905,67.33422390329355,1.95636694070269,38.0
75,199.98112399714336,67.38611422442357,1.9658361602840058,38.5
76,193.87178753048389,67.34716359013439,1.9361692522170273,39.0
77,192.47959326233817,67.49037034473649,1.9267721269029083,39.5
78,187.86279311233992,67.27891346504587,1.9070406684020602,40.0
79,187.76067872679602,67.26200552851056,1.9068177224737508,40.5
80,188.63280189773087,67.45392894848675,1.9077523143961406,41.0
81,193.46396167754318,67.44383353021874,1.932737206682956,41.5
82,189.74560112067044,67.34303826216778,1.915577308241762,42.0
83,186.49441227447448,67.31863803421464,1.8995813825710308,42.5
84,186.49441227447448,67.31863803421464,1.8995813825710308,43.0
85,193.82984237613056,67.60169996999127,1.931478681406712,43.5
86,193.82984237613056,67.60169996999127,1.931478681406712,44.0
87,193.82984237613056,67.60169996999127,1.931478681406712,44.5
88,196.46905985170008,67.74724048816584,1.942161998296465,45.0
89,196.46905985170008,67.74724048816584,1.942161998296465,45.5
