,Returns,Volatility,Sharpe Ratio,Rebalance Frequency
0,158.10396922858877,66.52581622265087,1.7575548245686503,1
1,162.42559300352823,66.69079825599383,1.7795062261676808,2
2,160.38392216694692,66.81305403279222,1.7657289125746911,3
3,159.46138186297594,66.87854969229959,1.7591955671113944,4
4,158.5352532038408,67.031597795649,1.7513409421582526,5
5,163.13699744430087,67.19667593047247,1.7747252960923732,6
6,165.71036589141244,66.94904530452155,1.7935983057845681,7
7,164.16874078877902,67.16997300590194,1.7812611367045903,8
8,172.67883694305687,68.07143110623429,1.811820683454895,9
9,170.2781662095803,68.25097066508438,1.795715535725229,10
10,182.30060372013818,68.20781648754038,1.8604264863406812,11
11,171.37898258431386,68.17376675477391,1.802803916919665,12
12,174.29284810641707,68.53620285460312,1.8125671734475601,13
13,173.00844920304405,68.86484693251307,1.7997776853323906,14
14,179.2763802862361,68.60204969674474,1.8382300504761317,15
15,177.15068797374167,68.82897495593897,1.8227391761956329,16
16,182.12367406629778,68.94166652869141,1.8467417154093764,17
17,195.66266391229138,68.75393167624138,1.918427777940215,18
18,184.9277263838787,69.0983805403915,1.8582248869510034,19
19,196.4978698608721,69.67733732844967,1.9051866423715453,20
20,197.24570475974508,69.42311622111895,1.9133160620109328,21
21,202.32194251884525,69.25786444896282,1.9405542429241058,22
22,202.67639946821774,69.7745183322705,1.9323188390457156,23
23,190.6726461807708,70.19235737808644,1.8679212728076242,24
24,186.81144611332533,71.45934412609652,1.8275887070535322,25
25,183.61787422301984,71.02890489664837,1.8194257194236743,26
26,193.88802789229564,71.50432805844696,1.8603226640501849,27
27,198.93581751163802,71.12085414202566,1.8912254664855752,28
28,187.2232087038617,71.56612362902781,1.8278038292798313,29
29,196.83852965365722,70.54913389716809,1.8916642241904913,30
30,190.36051460712847,71.1643577442568,1.8502499951863707,31
31,186.42521895475085,71.67165906444271,1.8222579028984012,32
32,192.9652631223977,71.38965613963646,1.859145079232276,33
33,195.56527760960688,71.51182340043698,1.8689022256412884,34
34,209.24966234164404,72.65055913680773,1.9118953651822805,35
35,214.6797037907647,71.39704905373381,1.9579562869637601,36
36,220.68817549562567,72.12881873139688,1.9726808862513168,37
37,204.37946831095016,72.4342641741181,1.8949496429352595,38
38,206.677214821756,73.30189331934174,1.8899673739842433,39
39,233.7511152943713,73.11538885330681,2.00935632756946,40
40,214.29412572565556,72.37162763937633,1.9400837912174114,41
41,205.20581717385204,72.32208553735221,1.9003006035651475,42
42,214.3181437311585,73.07246551370103,1.9284316469610907,43
43,230.31162747208577,72.77994658669856,2.0011196972871597,44
44,230.60509716404945,73.0416070878475,1.996874588788465,45
45,225.88305097649956,73.14480239881811,1.9757413722982835,46
46,216.65488344624842,73.75929249632983,1.927510997579147,47
47,215.45479417847116,73.67929486460413,1.9238566624306221,48
48,216.1947800961106,73.44243091815612,1.9288978543238469,49
49,213.77309731482356,73.05975787069801,1.9248557649718767,50
50,229.43014480707458,72.65333475534045,1.9999991411798859,51
51,221.10515254905937,74.25299252837885,1.9371503287488467,52
52,220.72183269798228,73.65011468106573,1.9457595116646849,53
53,214.11316344722275,74.030550357032,1.9108253307891219,54
54,220.85483708004153,74.36254056093328,1.9350234182646375,55
55,223.27624886156227,74.78621486718167,1.9378534961917708,56
56,215.98462466483795,74.50890258610305,1.9119009476033326,57
57,224.74674684328772,75.59310591354122,1.928205088284516,58
58,212.65468159460923,74.80405501242447,1.890984054136544,59
59,227.59068130028598,74.01878212297005,1.9679736823908225,60
60,240.05201730543533,75.05227199329869,2.0006919336161126,61
61,205.16503346563013,75.41589899621002,1.8508387225357128,62
62,198.2013799366194,75.67393648176592,1.8169133884936264,63
63,196.1404497767945,76.01996881059718,1.802845217425147,64
64,197.60247489543247,75.8315117057808,1.812650114493696,65
65,213.5137574989931,75.7697443968274,1.883292080104631,66
66,209.00686434438188,76.14787805550378,1.8575912865622428,67
67,200.30518496373878,75.59616835305005,1.8281064013038733,68
68,212.52274956737645,76.39589900944156,1.8669352386975244,69
69,219.7795880139532,77.93827288172854,1.870668246148132,70
70,214.9399057466602,77.3341293457349,1.8605239984915813,71
71,219.94436024942638,76.91665930619517,1.8876634020254799,72
72,218.098948743623,77.75618467623133,1.8681586826807006,73
73,201.13563617354987,76.19044301027404,1.821895193607122,74
74,196.89940195314932,76.11870573604116,1.805659257914728,75
75,209.83937025830883,76.63844756063389,1.854371581441234,76
76,211.46977391667355,76.46011441139365,1.8634436985453273,77
77,199.54357451940038,77.45673182762562,1.7978388140567758,78
78,206.95421566006172,76.54595374339195,1.8422849002810389,79
79,206.72388521407777,77.37412524564736,1.8297126185490293,80
80,215.16294678775574,77.70014037597068,1.85936495042679,81
81,221.4978802622608,76.68828050623003,1.9006612039512751,82
82,214.1397451531374,75.5922745127905,1.8874752922161144,83
83,210.62420378302082,75.67142300453682,1.8710056176114005,84
84,205.93821937818277,76.14808141987713,1.8444572417301903,85
85,221.20444565946434,76.89812290398194,1.8947147153227595,86
86,234.66808228142094,78.67263249812476,1.9189371780262494,87
87,241.893159461695,78.81777607657429,1.9435557401323769,88
88,258.64508663871305,79.12474430650434,1.999375687355725,89
89,271.19015472875094,79.56485040669916,2.0362154672374877,90
90,262.7998711226531,79.85886013587692,2.002885218312337,91
91,252.06215446033582,79.80194488824772,1.9671588884691469,92
92,228.96609064712686,80.20742124296714,1.876055684779705,93
93,222.9662301342416,80.9023523241801,1.844026739516779,94
94,214.61733652621092,80.42473058803363,1.8184240847343816,95
95,216.82855964455587,80.4058312738532,1.8270090147718427,96
