Date,Open,High,Low,Close,Adj Close,Volume
2009-07-01,13.850000,14.130000,13.220000,13.950000,13.950000,0
2009-08-01,14.430000,15.060000,13.590000,14.920000,14.920000,408800
2009-09-01,14.850000,17.530001,14.750000,16.670000,16.670000,3638600
2009-10-01,16.709999,17.940001,16.090000,16.350000,16.350000,4605800
2009-11-01,16.469999,18.930000,16.299999,18.469999,18.469999,3495100
2009-12-01,18.820000,19.430000,16.730000,16.870001,16.870001,3792100
2010-01-01,17.389999,18.790001,16.010000,16.190001,16.190001,2967900
2010-02-01,16.290001,16.770000,14.650000,16.420000,16.420000,2795900
2010-03-01,16.540001,17.600000,16.389999,17.450001,17.450001,2678900
2010-04-01,17.889999,18.730000,17.570000,18.610001,18.610001,2955200
2010-05-01,18.760000,19.799999,17.049999,18.350000,18.350000,4910900
2010-06-01,18.500000,19.290001,17.250000,18.570000,18.570000,3131900
2010-07-01,18.379999,18.410000,17.370001,17.920000,17.920000,3477500
2010-08-01,18.340000,19.350000,17.750000,19.280001,19.280001,3813000
2010-09-01,19.330000,21.959999,19.240000,21.700001,21.700001,4869700
2010-10-01,21.940001,24.629999,21.820000,24.629999,24.629999,7797000
2010-11-01,24.820000,29.250000,23.840000,27.969999,27.969999,13127000
2010-12-01,28.320000,30.820000,27.879999,30.730000,30.730000,9130700
2011-01-01,30.860001,31.020000,26.530001,27.930000,27.930000,8254500
2011-02-01,28.200001,33.830002,27.760000,33.759998,33.759998,7862700
2011-03-01,34.240002,37.970001,33.650002,37.509998,37.509998,13010500
2011-04-01,37.139999,49.279999,36.900002,47.759998,47.759998,22738700
2011-05-01,45.000000,47.099998,32.599998,38.340000,38.340000,35160100
2011-06-01,37.799999,38.230000,33.169998,34.520000,34.520000,8885400
2011-07-01,33.650002,41.150002,33.270000,39.619999,39.619999,9620600
2011-08-01,39.060001,43.619999,36.799999,41.250000,41.250000,17440000
2011-09-01,41.209999,43.130001,28.000000,29.520000,29.520000,13733400
2011-10-01,30.590000,35.139999,28.459999,34.130001,34.130001,7607500
2011-11-01,32.369999,35.090000,30.469999,32.639999,32.639999,8989200
2011-12-01,32.840000,33.209999,26.180000,27.520000,27.520000,8754800
2012-01-01,28.540001,33.790001,28.420000,32.959999,32.959999,5739200
2012-02-01,33.650002,37.200001,32.500000,34.240002,34.240002,6987400
2012-03-01,34.480000,35.360001,30.870001,32.049999,32.049999,7327500
2012-04-01,32.189999,33.020000,29.750000,30.799999,30.799999,3407600
2012-05-01,31.000000,31.070000,26.540001,27.549999,27.549999,6249800
2012-06-01,28.049999,29.629999,25.920000,27.240000,27.240000,4761100
2012-07-01,27.250000,28.209999,26.309999,27.719999,27.719999,4035400
2012-08-01,27.049999,31.490000,26.719999,31.469999,31.469999,5403100
2012-09-01,31.900000,34.799999,31.680000,34.200001,34.200001,7177100
2012-10-01,34.529999,34.849998,31.230000,31.950001,31.950001,4694300
2012-11-01,32.230000,34.049999,30.510000,33.090000,33.090000,4480400
2012-12-01,33.279999,33.509998,29.309999,30.049999,30.049999,4748900
2013-01-01,31.080000,32.139999,29.270000,31.139999,31.139999,4420800
2013-02-01,31.709999,31.750000,27.990000,28.219999,28.219999,4565900
