Date,Open,High,Low,Close,Adj Close,Volume
1996-02-01,null,null,null,null,null,null
1996-03-01,64.640625,65.968750,62.000000,64.687500,42.334843,19022700
1996-04-01,65.000000,65.812500,62.125000,65.390625,42.985065,14999300
1996-05-01,65.375000,68.437500,63.078125,66.875000,43.960846,17453200
1996-06-01,66.890625,68.500000,66.156250,67.109375,44.114925,16871800
1996-07-01,67.281250,67.703125,60.375000,64.093750,42.355808,28811500
1996-08-01,64.156250,67.343750,64.062500,65.328125,43.171555,15593100
1996-09-01,64.468750,69.250000,64.375000,68.625000,45.350246,17216100
1996-10-01,68.703125,71.625000,68.437500,70.843750,47.057430,14791800
1996-11-01,70.984375,76.687500,70.265625,76.015625,50.492802,24089700
1996-12-01,75.921875,76.578125,71.875000,73.843750,49.050148,34952800
1997-01-01,74.375000,79.687500,72.750000,78.406250,52.336697,43623700
1997-02-01,78.718750,82.000000,77.125000,79.156250,52.837311,30028800
1997-03-01,78.750000,81.796875,75.250000,75.375000,50.313328,37514300
1997-04-01,75.250000,80.687500,73.312500,80.093750,53.667858,57679300
1997-05-01,80.218750,85.562500,79.312500,85.156250,57.060047,37473400
1997-06-01,85.343750,90.500000,84.078125,88.312500,59.174934,47332500
1997-07-01,88.500000,96.031250,88.390625,95.312500,64.114044,65359700
1997-08-01,95.500000,96.625000,89.343750,90.375000,60.792755,99046800
1997-09-01,90.687500,96.375000,90.250000,94.375000,63.483452,78642200
1997-10-01,95.250000,98.500000,84.375000,92.062500,62.155037,137440500
1997-11-01,93.187500,96.812500,90.093750,95.625000,64.560226,93157400
1997-12-01,96.218750,99.000000,92.375000,97.062500,65.530739,79162300
1998-01-01,97.312500,99.562500,90.906250,98.312500,66.638786,104582300
1998-02-01,99.906250,105.531250,99.718750,105.125000,71.256485,69733700
1998-03-01,105.250000,111.531250,103.156250,109.937500,74.518517,87316900
1998-04-01,110.312500,113.437500,107.625000,111.343750,75.688560,118629400
1998-05-01,111.750000,113.312500,107.578125,109.031250,74.116585,116264800
1998-06-01,108.968750,114.687500,107.500000,113.312500,77.026886,141993600
1998-07-01,114.062500,119.234375,111.312500,111.781250,76.227768,155280200
1998-08-01,111.781250,112.421875,95.000000,96.000000,65.465927,268542800
1998-09-01,96.062500,107.000000,93.625000,101.750000,69.387115,269370500
1998-10-01,100.031250,110.906250,92.218750,110.000000,75.278008,249152700
1998-11-01,110.812500,119.718750,110.187500,116.125000,79.469643,136369000
1998-12-01,116.125000,124.750000,113.750000,123.312500,84.388351,156026700
1999-01-01,123.375000,128.500000,120.375000,127.656250,87.651199,141419000
1999-02-01,128.687500,128.843750,121.328125,123.562500,84.840340,164624900
1999-03-01,123.656250,132.625000,121.781250,128.375000,88.144730,148191100
1999-04-01,129.687500,137.500000,128.125000,133.250000,91.713882,156755700
1999-05-01,133.437500,138.000000,128.000000,130.203125,89.616753,182566900
1999-06-01,130.125000,137.500000,128.015625,137.000000,94.294960,160692200
1999-07-01,137.000000,142.250000,132.562500,132.750000,91.645615,115669100
1999-08-01,132.750000,138.781250,127.000000,132.062500,91.170959,142925900
1999-09-01,132.937500,136.625000,125.562500,128.750000,88.884117,167972700
1999-10-01,127.937500,137.687500,123.437500,137.000000,94.846008,196829400
1999-11-01,136.500000,143.000000,134.593750,139.281250,96.425316,125042200
1999-12-01,139.312500,147.562500,139.000000,146.875000,101.682503,121529300
2000-01-01,148.250000,148.250000,135.000000,139.562500,96.857185,156770800
2000-02-01,139.750000,144.562500,132.718750,137.437500,95.382416,186938300
2000-03-01,137.625000,155.750000,135.031250,150.375000,104.361137,247594900
2000-04-01,150.125000,153.109375,133.500000,145.093750,100.951828,229246200
2000-05-01,146.562500,148.484375,136.500000,142.812500,99.364601,161024000
2000-06-01,143.687500,149.156250,143.000000,145.281250,101.082268,127146000
2000-07-01,145.437500,151.984375,141.515625,143.000000,99.729340,106780100
2000-08-01,143.625000,153.093750,142.625000,152.343750,106.245728,102365500
2000-09-01,153.250000,153.593750,142.125000,143.625000,100.165207,113203000
2000-10-01,144.281250,145.750000,130.156250,142.953125,99.947083,178392400
2000-11-01,142.250000,144.296875,129.750000,132.281250,92.485748,156699900
2000-12-01,133.187500,139.562500,125.531250,131.187500,91.721054,165416700
2001-01-01,132.000000,138.699997,127.562500,137.020004,96.092728,181296400
2001-02-01,137.100006,137.990005,121.800003,123.949997,86.926689,178607000
2001-03-01,124.050003,127.750000,108.040001,116.690002,81.835205,318187200
2001-04-01,116.300003,127.269997,109.300003,126.660004,89.066406,251839700
2001-05-01,125.070000,132.089996,123.440002,125.949997,88.567131,208040000
2001-06-01,126.199997,129.229996,120.400002,122.599998,86.211433,203578200
2001-07-01,122.800003,124.320000,116.750000,121.349998,85.575134,196892900
2001-08-01,121.970001,123.250000,112.040001,114.150002,80.497742,269599600
2001-09-01,113.849998,116.169998,93.800003,104.440002,73.650314,419156100
2001-10-01,103.900002,111.790001,102.830002,105.800003,74.889343,512612000
2001-11-01,106.599998,116.900002,105.699997,114.050003,80.729012,372515000
2001-12-01,113.650002,118.000000,112.000000,114.300003,80.905975,308403900
2002-01-01,115.110001,117.989998,108.400002,113.180000,80.388794,349380000
2002-02-01,113.089996,113.300003,107.820000,111.150002,78.946861,424492600
2002-03-01,111.720001,117.900002,111.510002,114.519997,81.340500,385578100
2002-04-01,114.230003,115.099998,106.629997,107.860001,76.829544,404461000
2002-05-01,107.970001,111.250000,104.900002,107.220001,76.373650,452626500
2002-06-01,107.089996,107.599998,95.190002,98.959999,70.490005,534883500
2002-07-01,99.180000,99.800003,77.680000,91.160004,65.161285,1124248800
2002-08-01,90.879997,97.150002,83.550003,91.779999,65.604446,936191200
2002-09-01,90.730003,93.330002,80.900002,81.790001,58.463604,1013828600
2002-10-01,82.430000,91.290001,77.070000,88.519997,63.557865,1344248100
2002-11-01,88.349998,94.949997,87.449997,93.980003,67.478134,818243400
2002-12-01,95.470001,96.050003,87.110001,88.230003,63.349632,728285900
2003-01-01,88.849998,93.860001,84.150002,86.059998,62.095211,911319900
2003-02-01,86.139999,86.809998,81.000000,84.900002,61.258213,862248300
2003-03-01,85.260002,89.879997,79.379997,84.739998,61.142780,1156870200
2003-04-01,85.250000,92.800003,84.910004,91.910004,66.583542,996114200
2003-05-01,91.919998,97.089996,90.500000,96.949997,70.234787,881509900
2003-06-01,97.529999,102.180000,96.669998,97.629997,70.727394,867970200
2003-07-01,97.250000,101.900002,96.430000,99.389999,72.262482,895260500
2003-08-01,99.190002,101.820000,96.339996,101.440002,73.752975,772702000
2003-09-01,101.639999,104.699997,99.250000,99.949997,72.669640,818513400
2003-10-01,100.239998,105.970001,100.199997,105.300003,76.853317,831700900
2003-11-01,105.750000,106.949997,103.620003,106.449997,77.692657,630654200
2003-12-01,106.849998,111.519997,105.959999,111.279999,81.217804,678350400
2004-01-01,111.739998,116.500000,110.730003,113.480003,83.214821,737674000
2004-02-01,113.699997,116.599998,112.779999,115.019997,84.344116,676976900
2004-03-01,115.430000,116.970001,108.849998,113.099998,82.936180,1125003900
2004-04-01,113.070000,115.410004,110.900002,110.959999,81.652191,968620900
2004-05-01,111.370003,113.260002,108.059998,112.860001,83.050308,981083900
2004-06-01,112.459999,114.940002,111.870003,114.529999,84.279228,721880400
2004-07-01,114.250000,114.400002,108.209999,110.839996,81.861595,954619200
2004-08-01,110.190002,111.629997,106.589996,111.110001,82.061005,922892000
2004-09-01,110.949997,113.739998,110.410004,111.760002,82.541092,790891900
2004-10-01,112.260002,114.680000,109.349998,113.199997,83.952599,1044071300
2004-11-01,113.559998,119.139999,113.199997,117.889999,87.430878,961601700
2004-12-01,118.160004,121.660004,117.730003,120.870003,89.906548,909170200
2005-01-01,121.559998,121.760002,116.370003,118.160004,88.305992,1184211500
2005-02-01,118.250000,121.669998,118.099998,120.629997,90.151909,1025608400
2005-03-01,120.820000,123.250000,116.250000,117.959999,88.156509,1330548800
2005-04-01,118.629997,119.260002,113.550003,115.750000,86.844658,1633318500
2005-05-01,116.070000,120.250000,114.800003,119.480003,89.643188,1334647300
2005-06-01,119.519997,121.940002,118.750000,119.180000,89.418121,1089322900
2005-07-01,119.449997,124.639999,118.260002,123.739998,93.214058,1176306400
2005-08-01,123.830002,124.739998,120.379997,122.580002,92.340225,1306564800
2005-09-01,122.519997,124.739998,120.440002,123.040001,92.686768,1287005000
2005-10-01,122.959999,123.339996,116.879997,120.129997,90.879837,1784566400
2005-11-01,120.580002,127.410004,120.129997,125.410004,94.874222,1183732800
2005-12-01,126.019997,128.089996,124.360001,124.510002,94.193367,1073146800
2006-01-01,125.190002,129.440002,124.389999,127.500000,96.966660,1233910800
2006-02-01,127.820000,130.039993,125.400002,128.229996,97.521820,1145244400
2006-03-01,128.600006,131.470001,127.180000,129.830002,98.738686,1350777100
2006-04-01,130.070007,131.860001,128.020004,131.470001,100.383560,1300327900
2006-05-01,131.470001,132.800003,124.760002,127.510002,97.359924,1752747100
2006-06-01,127.379997,129.429993,122.339996,127.279999,97.184273,2163829300
2006-07-01,127.430000,128.139999,122.389999,127.849998,98.050972,1691301400
2006-08-01,127.339996,131.039993,126.279999,130.639999,100.190712,1420345400
2006-09-01,131.139999,133.990005,129.350006,133.580002,102.445435,1363687900
2006-10-01,133.539993,139.000000,132.649994,137.789993,106.138985,1443344100
2006-11-01,138.220001,141.160004,135.619995,140.529999,108.249550,1502059900
2006-12-01,140.529999,143.240005,138.970001,141.619995,109.089149,1212756800
2007-01-01,142.250000,144.130005,140.250000,143.750000,111.346863,1330329900
2007-02-01,144.149994,146.419998,139.000000,140.929993,109.162491,1494548900
2007-03-01,139.339996,143.809998,136.750000,142.000000,109.991341,2918304400
2007-04-01,142.160004,149.800003,141.479996,148.289993,115.319077,1791289900
2007-05-01,148.419998,153.889999,147.669998,153.320007,119.230705,2508178000
