Date,Open,High,Low,Close,Adj Close,Volume
2002-07-01,81.750000,82.800003,81.519997,82.529999,44.680027,35500
2002-08-01,82.540001,87.900002,82.540001,87.080002,47.143303,1470700
2002-09-01,87.080002,90.940002,86.750000,90.400002,48.940685,3888500
2002-10-01,89.160004,90.519997,84.080002,86.730003,47.155811,5249800
2002-11-01,86.300003,89.150002,84.910004,85.550003,46.691395,3922900
2002-12-01,84.360001,89.330002,84.150002,88.570000,48.557388,3884300
2003-01-01,87.699997,88.440002,85.019997,88.059998,48.741959,3317000
2003-02-01,87.669998,90.540001,87.309998,90.470001,50.075890,5212300
2003-03-01,90.000000,91.360001,86.050003,88.900002,49.379589,7915500
2003-04-01,88.400002,89.519997,85.919998,89.449997,49.872517,4628500
2003-05-01,89.199997,96.209999,88.199997,94.599998,52.969078,12486700
2003-06-01,93.879997,97.660004,91.550003,92.500000,52.068592,12939300
2003-07-01,92.150002,92.489998,82.230003,82.949997,46.890141,26275000
2003-08-01,82.099998,84.790001,80.910004,83.650002,47.466953,27897800
2003-09-01,83.629997,88.250000,81.879997,88.220001,50.289387,19228900
2003-10-01,87.500000,87.930000,82.750000,85.190002,48.779076,18245600
2003-11-01,84.559998,86.930000,83.050003,85.129997,48.948353,10015900
2003-12-01,84.400002,87.339996,83.800003,85.449997,49.333847,12636200
2004-01-01,85.089996,88.900002,83.900002,87.040001,50.736214,16415600
2004-02-01,86.449997,88.779999,86.239998,88.660004,51.680496,12248800
2004-03-01,88.459999,91.480003,87.110001,89.550003,52.414867,25301200
2004-04-01,88.980003,89.059998,83.010002,83.639999,49.153027,26199600
2004-05-01,83.099998,83.900002,80.510002,83.099998,49.026230,29857600
2004-06-01,82.370003,83.750000,80.760002,83.650002,49.543228,15253000
2004-07-01,83.349998,85.570000,82.930000,84.589996,50.294800,17658300
2004-08-01,84.500000,88.000000,84.320000,87.769997,52.396011,14912400
2004-09-01,87.699997,89.949997,86.000000,88.250000,52.888908,23791200
2004-10-01,87.500000,90.089996,86.739998,89.440002,53.816669,20229400
2004-11-01,88.750000,89.199997,86.629997,86.940002,52.527302,20623600
