Date;Price
29 2017 00:00:00 GMT+0000;,1785.25,4.
30 2017 00:00:00 GMT+0000;,1817.66,1.
01 2017 00:00:00 GMT+0000;,1892.74,4.
02 2017 00:00:00 GMT+0000;,1949.4,2.9
03 2017 00:00:00 GMT+0000;,1977.15,1.
04 2017 00:00:00 GMT+0000;,2058.65,4.
05 2017 00:00:00 GMT+0000;,2248.03,9.
06 2017 00:00:00 GMT+0000;,2300.77,2.
07 2017 00:00:00 GMT+0000;,2361.65,2.
08 2017 00:00:00 GMT+0000;,2461.3,4.2
09 2017 00:00:00 GMT+0000;,2684.44,9.
10 2017 00:00:00 GMT+0000;,2617.2,-2.
11 2017 00:00:00 GMT+0000;,2694.02,2.
12 2017 00:00:00 GMT+0000;,2737.85,1.
13 2017 00:00:00 GMT+0000;,2667.09,-2
14 2017 00:00:00 GMT+0000;,2770.63,3.
15 2017 00:00:00 GMT+0000;,2791.79,0.
16 2017 00:00:00 GMT+0000;,2841.05,1.
17 2017 00:00:00 GMT+0000;,2998.16,5.
18 2017 00:00:00 GMT+0000;,3179.98,6.
19 2017 00:00:00 GMT+0000;,3232.58,1.
20 2017 00:00:00 GMT+0000;,3394.14,5.
21 2017 00:00:00 GMT+0000;,3517.37,3.
22 2017 00:00:00 GMT+0000;,3617.63,2.
23 2017 00:00:00 GMT+0000;,3809.92,5.
24 2017 00:00:00 GMT+0000;,4094.27,7.
25 2017 00:00:00 GMT+0000;,4200.94,2.
26 2017 00:00:00 GMT+0000;,3855.13,-8
27 2017 00:00:00 GMT+0000;,3683.66,-4
28 2017 00:00:00 GMT+0000;,3414.59,-7
29 2017 00:00:00 GMT+0000;,3606.03,5.
30 2017 00:00:00 GMT+0000;,3841.71,6.
31 2017 00:00:00 GMT+0000;,3905.73,1.
01 2017 00:00:00 GMT+0000;,4090.52,4.
02 2017 00:00:00 GMT+0000;,4389.62,7.
03 2017 00:00:00 GMT+0000;,4409.31,0.
04 2017 00:00:00 GMT+0000;,4432,0.51%
05 2017 00:00:00 GMT+0000;,4520.74,2.
06 2017 00:00:00 GMT+0000;,4705.55,4.
07 2017 00:00:00 GMT+0000;,4915.32,4.
08 2017 00:00:00 GMT+0000;,4726.82,-3
09 2017 00:00:00 GMT+0000;,4857.63,2.
10 2017 00:00:00 GMT+0000;,4958.91,2.
11 2017 00:00:00 GMT+0000;,5278.26,6.
12 2017 00:00:00 GMT+0000;,5387.94,2.
13 2017 00:00:00 GMT+0000;,5298.27,-1
14 2017 00:00:00 GMT+0000;,5424.76,2.
15 2017 00:00:00 GMT+0000;,5061.1,-6.
16 2017 00:00:00 GMT+0000;,5006.43,-1
17 2017 00:00:00 GMT+0000;,5107.61,2.
18 2017 00:00:00 GMT+0000;,5359.5,4.9
19 2017 00:00:00 GMT+0000;,5256.31,-1
20 2017 00:00:00 GMT+0000;,5337.43,1.
21 2017 00:00:00 GMT+0000;,5439.57,1.
22 2017 00:00:00 GMT+0000;,5246.22,-3
23 2017 00:00:00 GMT+0000;,5241.94,-0
24 2017 00:00:00 GMT+0000;,5370.26,2.
25 2017 00:00:00 GMT+0000;,5112.18,-4
26 2017 00:00:00 GMT+0000;,4953.65,-3
27 2017 00:00:00 GMT+0000;,4628.09,-6
28 2017 00:00:00 GMT+0000;,4793.73,3.
29 2017 00:00:00 GMT+0000;,5001.94,4.
30 2017 00:00:00 GMT+0000;,4799.01,-4
01 2017 00:00:00 GMT+0000;,4693.34,-2
