,Returns,Volatility,Sharpe Ratio,BTC Weight,ETH Weight,LTC Weight
0,0.6788060337462472,0.5037149444204361,1.2796296354360026,0.39692323008798375,0.10448593248058213,0.3048820970273497
1,1.1278544321460036,0.6187214893935301,1.5291782471357374,0.401222776116448,0.4433877651100983,0.022123428650731112
2,1.0275823410962799,0.6870498405627895,1.3670745071000576,0.08400212187646008,0.36280907823191594,0.445882500492847
3,0.841714365104832,0.45874950898640354,1.5612922029257927,0.25196293394768,0.3066075553846015,0.11286547103899083
4,0.9936129169514056,0.6717426412739063,1.3561859044037234,0.04937622609859187,0.3566351372160881,0.4307598569106336
5,0.7398357583380728,0.4835042732545985,1.3857570445067797,0.24511498095388784,0.18078321184355073,0.3046023567010106
6,1.0077493898713281,0.5691209764240766,1.5064828239682375,0.0819766412957569,0.43596279630405144,0.22828789667174854
7,1.1802704154751122,0.614928468810109,1.5753470820928563,0.4931937585459559,0.372693196169021,0.03489282126906895
8,0.4735516041024803,0.4100430545781691,1.1435890753441662,0.054211775848818845,0.05739317841809589,0.39147024537134645
9,0.8072149885092001,0.47529670408791574,1.4831912693149558,0.2741120175513314,0.2630784269349223,0.17051965315331338
10,0.826028368021462,0.6714599584139708,1.2253411843933024,0.12544763830047206,0.2166574313483432,0.5287184449867609
11,0.9840888763963609,0.6155546617537887,1.4141518325622793,0.19594100312737076,0.17368554057306,0.46329683466467425
12,0.8292427671640141,0.5030738439869475,1.4513508802100972,0.29330949190641886,0.20392632629898677,0.28465564080815425
13,0.9323905398771972,0.7413037446688572,1.2476631224125347,0.04506537304224371,0.23254735657247244,0.5973227259250384
14,0.8087151501025758,0.4939224386708669,1.4476100665412623,0.5753681963399515,0.15877557013302612,0.06075436722642809
