,Returns,Volatility,Sharpe Ratio,BTC Weight,ETH Weight
0,2.262720176476112,1.2126972008865227,1.5484539819393193,0.0,1.0
1,2.2711981298445036,1.2059877598127582,1.5531024477798427,0.01,0.99
2,2.279370792299506,1.1993077405241817,1.5577448297914536,0.02,0.98
3,2.2872352550102475,1.1926563983991538,1.5623802807322291,0.03,0.97
4,2.294788776982507,1.1860331167716758,1.5670079337593124,0.04,0.96
5,2.3020320505008507,1.1794373316511069,1.571627775301527,0.05,0.95
6,2.3089610082767598,1.1728684208929652,1.5762385729168131,0.06,0.94
7,2.3155746532143904,1.1663258568801913,1.58083983678744,0.07,0.9299999999999999
8,2.321869511278761,1.159809045118313,1.58543044595875,0.08,0.92
9,2.327845732478621,1.1533175921088805,1.5900101165367788,0.09,0.91
10,2.3335002952961994,1.1468509323312572,1.5945777989950145,0.1,0.9
11,2.338831432615607,1.1404086616214797,1.5991326679985345,0.11,0.89
12,2.343835640023915,1.133990300623175,1.603673455228526,0.12,0.88
13,2.3485130536573537,1.127595486560147,1.6081997762292488,0.13,0.87
14,2.3528609988284526,1.1212237766176811,1.6127105114297262,0.14,0.86
15,2.3568758955450657,1.1148748756129985,1.6172041913658255,0.15,0.85
16,2.360557793871702,1.1085484177288891,1.6216803278518284,0.16,0.84
17,2.363903561678101,1.1022440211867575,1.626137549246899,0.17,0.83
18,2.3669109961658523,1.095961490285274,1.6305745986943003,0.18,0.8200000000000001
19,2.3695774099917246,1.0897004964068993,1.6349901161817642,0.19,0.81
20,2.3719017072993065,1.0834608806316661,1.6393830459855723,0.2,0.8
21,2.3738813900471416,1.0772422766352867,1.643752009460474,0.21,0.79
22,2.3755143835325323,1.071044497523619,1.648095609585269,0.22,0.78
23,2.3767968479509007,1.0648674165095762,1.6524118615550383,0.23,0.77
24,2.377729344194798,1.0587108720057987,1.6566999736944208,0.24,0.76
25,2.378307846872376,1.0525747393007414,1.6609578010997244,0.25,0.75
26,2.3785297158398633,1.0464588206634267,1.6651835530662238,0.26,0.74
27,2.37839416507867,1.040363168201574,1.669375763102609,0.27,0.73
28,2.3778978196099705,1.0342876157000327,1.6735322849392462,0.28,0.72
29,2.3770387926661236,1.0282321405355548,1.6776512363791953,0.29,0.71
30,2.37581388302809,1.0221966894182646,1.681730302051302,0.3,0.7
31,2.3742221288276104,1.0161813893798493,1.6857676103539414,0.31,0.69
32,2.3722604366938227,1.0101862281612017,1.689760681494124,0.32,0.6799999999999999
33,2.3699263645468256,1.0042112342915848,1.6937071062721818,0.33,0.6699999999999999
34,2.367216388055106,0.9982564777212061,1.6976040274682764,0.34,0.6599999999999999
35,2.3641303110316847,0.9923222789884678,1.7014492972862003,0.35,0.65
36,2.3606641202776437,0.9864086259230257,1.7052397685606298,0.36,0.64
37,2.356815923885008,0.9805156994135144,1.7089726722333387,0.37,0.63
38,2.352582105412397,0.9746438207359103,1.7126444902535702,0.38,0.62
39,2.347962037564339,0.968793278271872,1.7162525200238001,0.39,0.61
40,2.342951211722704,0.9629642846537777,1.719792793643511,0.4,0.6
41,2.337547523180765,0.9571571898579759,1.723261830634659,0.41,0.5900000000000001
42,2.3317493265090468,0.9513724588613517,1.7266560700797795,0.42,0.5800000000000001
43,2.3255535863851726,0.9456104153327617,1.7299714697484403,0.43,0.5700000000000001
44,2.318956730481735,0.9398716009595229,1.7332034693911882,0.44,0.56
45,2.311956392290975,0.934156417000061,1.7363478436592306,0.45,0.55
46,2.3045499755281855,0.9284655719795452,1.7393998523253777,0.46,0.54
47,2.2967350052170983,0.9227996656479407,1.7423546950202258,0.47,0.53
48,2.288508010402442,0.9171592962147188,1.7452070491457585,0.48,0.52
49,2.2798657631903927,0.9115451335546613,1.747951397988293,0.49,0.51
50,2.27080624535998,0.9059581984769176,1.7505820859052859,0.5,0.5
51,2.2613263421076115,0.9003991874672693,1.7530931596505521,0.51,0.49
52,2.2514220012794817,0.8948689704220765,1.7554779377419565,0.52,0.48
53,2.2410915482344835,0.8893687419419096,1.7577299941398024,0.53,0.47
54,2.230330866944628,0.883899422659338,1.759842042632794,0.54,0.45999999999999996
55,2.2191372876253626,0.8784623823263725,1.7618065890764183,0.55,0.44999999999999996
56,2.2075062867797093,0.8730585081828749,1.7636156581539082,0.56,0.43999999999999995
57,2.1954363586640158,0.8676895529550918,1.7652611751450402,0.57,0.43000000000000005
58,2.1829229210223704,0.8623567178265059,1.7667341951817395,0.58,0.42000000000000004
59,2.1699629728656826,0.8570616847965735,1.7680255032734549,0.59,0.41000000000000003
60,2.156551798765551,0.851806047794553,1.769124986485147,0.6,0.4
61,2.1426883445670892,0.8465916428034332,1.7700232734362498,0.61,0.39
62,2.1283657615899343,0.8414204524522018,1.7707082686875106,0.62,0.38
63,2.1135825107295374,0.8362944491177161,1.7711694707393344,0.63,0.37
64,2.098333133030799,0.8312158977234249,1.7713941673153095,0.64,0.36
65,2.0826153786428407,0.8261872987447901,1.771370150636863,0.65,0.35
66,2.0664238290375914,0.8212111607064865,1.7710835292749652,0.66,0.33999999999999997
67,2.049753477894433,0.8162901800610921,1.7705198690144144,0.67,0.32999999999999996
68,2.0326015427745707,0.8114274387364167,1.7696646887800924,0.68,0.31999999999999995
69,2.014962782011391,0.8066260916497227,1.7685019322370303,0.69,0.31000000000000005
70,1.9968326341121978,0.8018897146862244,1.7670147915165644,0.7,0.30000000000000004
71,1.9782057455364557,0.7972217114369429,1.7651858015202124,0.71,0.29000000000000004
72,1.959077842167006,0.7926264266453202,1.7629962847619212,0.72,0.28
