,Returns,Volatility,Sharpe Ratio,BTC Weight,ETH Weight
0,1.5105876174169564,1.0882396830471548,1.3695721765081408,0.0,1.0
1,1.507877982505919,1.0856937566911342,1.369444461831,0.01,0.99
2,1.5051590157547894,1.0831356309270415,1.3693206861131764,0.02,0.98
3,1.5024298499642224,1.0805653111216762,1.3692006088849198,0.03,0.97
4,1.4996895581166818,1.0779827793982437,1.3690839719997516,0.04,0.96
5,1.4969396784477436,1.0753869056039027,1.3689718483787883,0.05,0.95
6,1.4941793156212437,1.0727776708570833,1.3688640055155934,0.06,0.94
7,1.49140839346413,1.0701546806740319,1.3687606580139866,0.07,0.9299999999999999
8,1.4886259671013136,1.0675178875522833,1.3686615656227155,0.08,0.92
9,1.4858335947683257,1.0648661564494712,1.3685678526007083,0.09,0.91
10,1.483030379649573,1.0621994411342641,1.3684793118298926,0.1,0.9
11,1.4802161926582147,1.059517311934796,1.3683961763438541,0.11,0.89
12,1.477390118158068,1.056819699076774,1.3683182427792187,0.12,0.88
13,1.4745537189103022,1.0541054546247615,1.368246688538138,0.13,0.87
14,1.471706080048981,1.0513744971071832,1.3681813324971757,0.14,0.86
15,1.4688462233688147,1.0486267168171652,1.3681219778555942,0.15,0.85
16,1.465975743333228,1.045860960055393,1.368069855185403,0.16,0.84
17,1.4630936945195252,1.04307711151039,1.3680248022289319,0.17,0.83
18,1.4601999860969985,1.040274700977301,1.367987138776616,0.18,0.8200000000000001
19,1.4572936195104504,1.0374535764997155,1.3679567018291066,0.19,0.81
