,Returns,Volatility,Sharpe Ratio,BTC Weight,ETH Weight
0,1.5105876174169564,1.0882396830471548,1.3695721765081408,0.0,1.0
1,1.507877982505919,1.0856937566911342,1.369444461831,0.01,0.99
2,1.5051590157547894,1.0831356309270415,1.3693206861131764,0.02,0.98
3,1.5024298499642224,1.0805653111216762,1.3692006088849198,0.03,0.97
4,1.4996895581166818,1.0779827793982437,1.3690839719997516,0.04,0.96
5,1.4969396784477436,1.0753869056039027,1.3689718483787883,0.05,0.95
6,1.4941793156212437,1.0727776708570833,1.3688640055155934,0.06,0.94
7,1.49140839346413,1.0701546806740319,1.3687606580139866,0.07,0.9299999999999999
8,1.4886259671013136,1.0675178875522833,1.3686615656227155,0.08,0.92
9,1.4858335947683257,1.0648661564494712,1.3685678526007083,0.09,0.91
10,1.483030379649573,1.0621994411342641,1.3684793118298926,0.1,0.9
11,1.4802161926582147,1.059517311934796,1.3683961763438541,0.11,0.89
12,1.477390118158068,1.056819699076774,1.3683182427792187,0.12,0.88
13,1.4745537189103022,1.0541054546247615,1.368246688538138,0.13,0.87
14,1.471706080048981,1.0513744971071832,1.3681813324971757,0.14,0.86
15,1.4688462233688147,1.0486267168171652,1.3681219778555942,0.15,0.85
16,1.465975743333228,1.045860960055393,1.368069855185403,0.16,0.84
17,1.4630936945195252,1.04307711151039,1.3680248022289319,0.17,0.83
18,1.4601999860969985,1.040274700977301,1.367987138776616,0.18,0.8200000000000001
19,1.4572936195104504,1.0374535764997155,1.3679567018291066,0.19,0.81
20,1.4543762106464868,1.0346125676098843,1.3679347943874387,0.2,0.8
21,1.4514467941394606,1.031751514826328,1.3679212924947177,0.21,0.79
22,1.448505272981706,1.0288699113664879,1.3679165686208952,0.22,0.78
23,1.445550627224216,1.025967557489443,1.3679205020061536,0.23,0.77
24,1.4425844947150601,1.0230432612239082,1.3679344786691685,0.24,0.76
25,1.439605889103404,1.0200968132302881,1.3679584223194334,0.25,0.75
26,1.4366138246098403,1.0171279888353972,1.3679922652136716,0.26,0.74
27,1.433609904960738,1.0141355618073096,1.3680374492147382,0.27,0.73
28,1.4305931443136037,1.0111192863024705,1.3680939461004655,0.28,0.72
29,1.4275634162689284,1.0080785726746349,1.368162242121292,0.29,0.71
30,1.4245197124902043,1.0050131384806833,1.3682423315879118,0.3,0.7
31,1.4214636587510325,1.001921726100951,1.3683357632815563,0.31,0.69
32,1.4183942464749153,0.9988040289136794,1.3684425786039822,0.32,0.6799999999999999
33,1.4153113411850549,0.9956594041286639,1.3685633510722783,0.33,0.6699999999999999
34,1.412213910717746,0.9924875045870025,1.3686981520336823,0.34,0.6599999999999999
35,1.4091036034168871,0.9892870360430638,1.3688486548611694,0.35,0.65
36,1.405979386674853,0.9860576240795897,1.369014987211416,0.36,0.64
37,1.4028411172189195,0.9827985662862496,1.3691978280092576,0.37,0.63
38,1.3996877376735881,0.9795094435493349,1.3693973440730802,0.38,0.62
39,1.3965209194764787,0.9761889200294922,1.3696153546568701,0.39,0.61
40,1.3933396045730166,0.9728365464098843,1.369852094073627,0.4,0.6
41,1.3901426974660063,0.96945183831586,1.3701078104948858,0.41,0.5900000000000001
42,1.3869319419363122,0.9660334458011308,1.3703844634681932,0.42,0.5800000000000001
43,1.3837062051537856,0.9625808391752513,1.3706823689275043,0.43,0.5700000000000001
44,1.380465344694692,0.959093203759246,1.3710024508897372,0.44,0.56
45,1.3772082367637837,0.9555699709643549,1.3713450955985618,0.45,0.55
46,1.3739366501727535,0.952009744988966,1.3717124559220433,0.46,0.54
47,1.3706494228025177,0.9484119093912177,1.3721050013076197,0.47,0.53
48,1.3673464013376275,0.9447755764709408,1.3725238329214697,0.48,0.52
49,1.364026431890804,0.9411000893248914,1.3729695060594234,0.49,0.51
50,1.3606913088510755,0.9373840075061529,1.3734444004773039,0.5,0.5
51,1.3573398389386764,0.9336266259805822,1.3739491724875574,0.51,0.49
52,1.353970863342309,0.9298272296156854,1.3744845318218903,0.52,0.48
53,1.3505861766762912,0.9259843411450839,1.375053048327428,0.53,0.47
54,1.3471846188676206,0.9220972172541921,1.3756555557862853,0.54,0.45999999999999996
55,1.3437659569359228,0.9181648257488152,1.3762935375833074,0.55,0.44999999999999996
56,1.340328998764114,0.9141863725593853,1.3769679357911122,0.56,0.43999999999999995
57,1.336875584759933,0.9101603678575133,1.3776816170202608,0.57,0.43000000000000005
58,1.3334044620184176,0.906085974505017,1.3784356529330004,0.58,0.42000000000000004
59,1.3299154412693994,0.9019621438532182,1.3792318157926828,0.59,0.41000000000000003
60,1.3264072750535867,0.8977880209728091,1.3800713098658595,0.6,0.4
61,1.3228818307412342,0.8935621368131593,1.3809573251711222,0.61,0.39
62,1.3193378180517326,0.8892836279468439,1.3818912119747142,0.62,0.38
63,1.3157739808062754,0.8849516483593143,1.3828743906615477,0.63,0.37
64,1.3121921864465294,0.8805647875134982,1.383910296022305,0.64,0.36
65,1.3085911761827003,0.8761222511659962,1.385000497457479,0.65,0.35
66,1.3049706708021453,0.8716230552629449,1.3861472673287885,0.66,0.33999999999999997
67,1.301329373749812,0.8670664589117778,1.3873522858948046,0.67,0.32999999999999996
68,1.2976691796879591,0.862451279500497,1.3886192754022568,0.68,0.31999999999999995
69,1.293988788796952,0.8577769294419844,1.389950017006542,0.69,0.31000000000000005
70,1.290287901618524,0.8530427197062864,1.3913469730704573,0.7,0.30000000000000004
71,1.2865651780758451,0.8482482552116933,1.3928119461038426,0.71,0.29000000000000004
72,1.2828225403286884,0.843392885005553,1.3943487518639588,0.72,0.28
