date,open,high,low,close,adjclose,volume,dividend,split
2015-01-13,110.26000213623047,110.2699966430664,110.26000213623047,110.26000213623047,104.951416015625,415300,0,1
2015-01-14,110.2699966430664,110.2699966430664,110.26000213623047,110.26000213623047,104.951416015625,365500,0,1
2015-01-15,110.26000213623047,110.27999877929688,110.26000213623047,110.2699966430664,104.96092224121094,2183800,0,1
2015-01-16,110.2699966430664,110.27999877929688,110.26000213623047,110.2699966430664,104.96092224121094,2988600,0,1
2015-01-20,110.2699966430664,110.27999877929688,110.26000213623047,110.2699966430664,104.96092224121094,5939000,0,1
2015-01-21,110.2699966430664,110.2699966430664,110.26000213623047,110.26000213623047,104.951416015625,2266800,0,1
2015-01-22,110.2699966430664,110.2699966430664,110.26000213623047,110.2699966430664,104.96092224121094,278600,0,1
2015-01-23,110.26000213623047,110.2699966430664,110.26000213623047,110.2699966430664,104.96092224121094,297500,0,1
2015-01-26,110.25,110.2699966430664,110.25,110.26000213623047,104.951416015625,2092500,0,1
2015-01-27,110.26000213623047,110.26000213623047,110.25,110.26000213623047,104.951416015625,416000,0,1
2015-01-28,110.26000213623047,110.26000213623047,110.25,110.25,104.9418716430664,249800,0,1
2015-01-29,110.26000213623047,110.27999877929688,110.25,110.27999877929688,104.970458984375,379200,0,1
2015-01-30,110.2699966430664,110.27999877929688,110.26000213623047,110.26000213623047,104.951416015625,1730300,0,1
2015-02-02,110.2699966430664,110.29000091552734,110.2699966430664,110.27999877929688,104.970458984375,21488800,0,1
2015-02-03,110.2699966430664,110.29000091552734,110.2699966430664,110.29000091552734,104.97998046875,2532900,0,1
2015-02-04,110.29000091552734,110.29000091552734,110.2699966430664,110.2699966430664,104.96092224121094,540800,0,1
2015-02-05,110.29000091552734,110.29000091552734,110.2699966430664,110.2699966430664,104.96092224121094,275500,0,1
2015-02-06,110.2699966430664,110.27999877929688,110.26000213623047,110.2699966430664,104.96092224121094,342000,0,1
2015-02-09,110.26000213623047,110.27999877929688,110.26000213623047,110.2699966430664,104.96092224121094,3501400,0,1
2015-02-10,110.2699966430664,110.2699966430664,110.26000213623047,110.26000213623047,104.951416015625,1218700,0,1
2015-02-11,110.26000213623047,110.2699966430664,110.26000213623047,110.2699966430664,104.96092224121094,738900,0,1
2015-02-12,110.26000213623047,110.2699966430664,110.26000213623047,110.26000213623047,104.951416015625,681600,0,1
2015-02-13,110.2699966430664,110.2699966430664,110.26000213623047,110.2699966430664,104.96092224121094,595900,0,1
2015-02-17,110.26000213623047,110.27999877929688,110.26000213623047,110.27999877929688,104.970458984375,4877900,0,1
2015-02-18,110.2699966430664,110.29000091552734,110.2699966430664,110.29000091552734,104.97998046875,428300,0,1
2015-02-19,110.29000091552734,110.29000091552734,110.27999877929688,110.29000091552734,104.97998046875,498700,0,1
2015-02-20,110.29000091552734,110.29000091552734,110.2699966430664,110.27999877929688,104.970458984375,474900,0,1
2015-02-23,110.2699966430664,110.29000091552734,110.2699966430664,110.2699966430664,104.96092224121094,572400,0,1
2015-02-24,110.2699966430664,110.27999877929688,110.2699966430664,110.2699966430664,104.96092224121094,439400,0,1
2015-02-25,110.2699966430664,110.27999877929688,110.2699966430664,110.2699966430664,104.96092224121094,427300,0,1
2015-02-26,110.2699966430664,110.27999877929688,110.2699966430664,110.2699966430664,104.96092224121094,382300,0,1
2015-02-27,110.27999877929688,110.27999877929688,110.2699966430664,110.27999877929688,104.970458984375,457100,0,1
2015-03-02,110.2699966430664,110.27999877929688,110.26000213623047,110.2699966430664,104.96092224121094,5852700,0,1
2015-03-03,110.2699966430664,110.2699966430664,110.26000213623047,110.26000213623047,104.951416015625,652800,0,1
2015-03-04,110.26000213623047,110.27999877929688,110.26000213623047,110.27999877929688,104.970458984375,662200,0,1
2015-03-05,110.27999877929688,110.27999877929688,110.26000213623047,110.26000213623047,104.951416015625,332600,0,1
2015-03-06,110.26000213623047,110.2699966430664,110.26000213623047,110.2699966430664,104.96092224121094,358100,0,1
2015-03-09,110.2699966430664,110.2699966430664,110.26000213623047,110.26000213623047,104.951416015625,949700,0,1
2015-03-10,110.2699966430664,110.2699966430664,110.26000213623047,110.2699966430664,104.96092224121094,1807900,0,1
2015-03-11,110.2699966430664,110.2699966430664,110.26000213623047,110.26000213623047,104.951416015625,928200,0,1
2015-03-12,110.26000213623047,110.2699966430664,110.26000213623047,110.26000213623047,104.951416015625,560300,0,1
2015-03-13,110.26000213623047,110.2699966430664,110.26000213623047,110.2699966430664,104.96092224121094,430700,0,1
2015-03-16,110.26000213623047,110.2699966430664,110.26000213623047,110.2699966430664,104.96092224121094,3651400,0,1
2015-03-17,110.26000213623047,110.2699966430664,110.26000213623047,110.26000213623047,104.951416015625,391600,0,1
2015-03-18,110.2699966430664,110.2699966430664,110.25,110.25,104.9418716430664,459700,0,1
2015-03-19,110.2699966430664,110.2699966430664,110.26000213623047,110.26000213623047,104.951416015625,386100,0,1
2015-03-20,110.2699966430664,110.2699966430664,110.26000213623047,110.26000213623047,104.951416015625,409700,0,1
2015-03-23,110.26000213623047,110.2699966430664,110.26000213623047,110.2699966430664,104.96092224121094,708400,0,1
2015-03-24,110.26000213623047,110.2699966430664,110.26000213623047,110.26000213623047,104.951416015625,422400,0,1
2015-03-25,110.26000213623047,110.2699966430664,110.26000213623047,110.26000213623047,104.951416015625,612100,0,1
2015-03-26,110.2699966430664,110.2699966430664,110.26000213623047,110.26000213623047,104.951416015625,579100,0,1
2015-03-27,110.26000213623047,110.2699966430664,110.26000213623047,110.26000213623047,104.951416015625,372000,0,1
2015-03-30,110.26000213623047,110.2699966430664,110.26000213623047,110.26000213623047,104.951416015625,4806800,0,1
2015-03-31,110.26000213623047,110.2699966430664,110.26000213623047,110.2699966430664,104.96092224121094,477400,0,1
2015-04-01,110.27999877929688,110.27999877929688,110.2699966430664,110.2699966430664,104.96092224121094,583600,0,1
2015-04-02,110.2699966430664,110.27999877929688,110.26000213623047,110.26000213623047,104.951416015625,854000,0,1
2015-04-06,110.29000091552734,110.29000091552734,110.2699966430664,110.2699966430664,104.96092224121094,2090900,0,1
2015-04-07,110.27999877929688,110.27999877929688,110.2699966430664,110.2699966430664,104.96092224121094,427700,0,1
2015-04-08,110.2699966430664,110.27999877929688,110.2699966430664,110.27999877929688,104.970458984375,705200,0,1
2015-04-09,110.2699966430664,110.27999877929688,110.2699966430664,110.27999877929688,104.970458984375,565200,0,1
2015-04-10,110.2699966430664,110.27999877929688,110.2699966430664,110.27999877929688,104.970458984375,605000,0,1
2015-04-13,110.2699966430664,110.27999877929688,110.2699966430664,110.2699966430664,104.96092224121094,948700,0,1
2015-04-14,110.2699966430664,110.27999877929688,110.2699966430664,110.27999877929688,104.970458984375,366800,0,1
2015-04-15,110.27999877929688,110.27999877929688,110.2699966430664,110.27999877929688,104.970458984375,460400,0,1
2015-04-16,110.2699966430664,110.27999877929688,110.2699966430664,110.27999877929688,104.970458984375,435500,0,1
2015-04-17,110.2699966430664,110.27999877929688,110.2699966430664,110.27999877929688,104.970458984375,566700,0,1
2015-04-20,110.2699966430664,110.27999877929688,110.2699966430664,110.2699966430664,104.96092224121094,571100,0,1
2015-04-21,110.2699966430664,110.27999877929688,110.2699966430664,110.2699966430664,104.96092224121094,367400,0,1
2015-04-22,110.2699966430664,110.27999877929688,110.2699966430664,110.2699966430664,104.96092224121094,321500,0,1
2015-04-23,110.2699966430664,110.27999877929688,110.2699966430664,110.27999877929688,104.970458984375,346700,0,1
2015-04-24,110.2699966430664,110.27999877929688,110.2699966430664,110.2699966430664,104.96092224121094,433500,0,1
2015-04-27,110.2699966430664,110.27999877929688,110.2699966430664,110.2699966430664,104.96092224121094,1013700,0,1
2015-04-28,110.27999877929688,110.27999877929688,110.2699966430664,110.27999877929688,104.970458984375,548400,0,1
2015-04-29,110.2699966430664,110.27999877929688,110.2699966430664,110.2699966430664,104.96092224121094,313100,0,1
2015-04-30,110.2699966430664,110.29000091552734,110.2699966430664,110.27999877929688,104.970458984375,599300,0,1
2015-05-01,110.29000091552734,110.29000091552734,110.2699966430664,110.2699966430664,104.96092224121094,457700,0,1
2015-05-04,110.29000091552734,110.29000091552734,110.27999877929688,110.27999877929688,104.970458984375,585900,0,1
2015-05-05,110.27999877929688,110.29000091552734,110.27999877929688,110.29000091552734,104.97998046875,595300,0,1
2015-05-06,110.27999877929688,110.29000091552734,110.27999877929688,110.27999877929688,104.970458984375,283500,0,1
2015-05-07,110.27999877929688,110.29000091552734,110.27999877929688,110.29000091552734,104.97998046875,357500,0,1
2015-05-08,110.27999877929688,110.30000305175781,110.27999877929688,110.29000091552734,104.97998046875,979000,0,1
2015-05-11,110.27999877929688,110.29000091552734,110.27999877929688,110.27999877929688,104.970458984375,468200,0,1
2015-05-12,110.27999877929688,110.29000091552734,110.27999877929688,110.29000091552734,104.97998046875,230500,0,1
2015-05-13,110.27999877929688,110.29000091552734,110.27999877929688,110.27999877929688,104.970458984375,402600,0,1
2015-05-14,110.27999877929688,110.29000091552734,110.27999877929688,110.27999877929688,104.970458984375,453600,0,1
2015-05-15,110.27999877929688,110.29000091552734,110.27999877929688,110.27999877929688,104.970458984375,403300,0,1
2015-05-18,110.27999877929688,110.29000091552734,110.27999877929688,110.27999877929688,104.970458984375,319100,0,1
2015-05-19,110.27999877929688,110.29000091552734,110.27999877929688,110.27999877929688,104.970458984375,511600,0,1
2015-05-20,110.27999877929688,110.29000091552734,110.27999877929688,110.27999877929688,104.970458984375,13116700,0,1
2015-05-21,110.27999877929688,110.29000091552734,110.27999877929688,110.27999877929688,104.970458984375,244100,0,1
2015-05-22,110.27999877929688,110.29000091552734,110.27999877929688,110.27999877929688,104.970458984375,179300,0,1
2015-05-26,110.2699966430664,110.29000091552734,110.2699966430664,110.27999877929688,104.970458984375,2663900,0,1
2015-05-27,110.27999877929688,110.29000091552734,110.27999877929688,110.27999877929688,104.970458984375,271100,0,1
2015-05-28,110.29000091552734,110.29000091552734,110.27999877929688,110.29000091552734,104.97998046875,288400,0,1
2015-05-29,110.27999877929688,110.29000091552734,110.27999877929688,110.27999877929688,104.970458984375,225500,0,1
2015-06-01,110.27999877929688,110.29000091552734,110.27999877929688,110.27999877929688,104.970458984375,1376400,0,1
2015-06-02,110.27999877929688,110.29000091552734,110.27999877929688,110.27999877929688,104.970458984375,271700,0,1
2015-06-03,110.29000091552734,110.29000091552734,110.27999877929688,110.29000091552734,104.97998046875,674800,0,1
2015-06-04,110.27999877929688,110.29000091552734,110.27999877929688,110.27999877929688,104.970458984375,305700,0,1
2015-06-05,110.27999877929688,110.29000091552734,110.2699966430664,110.2699966430664,104.96092224121094,185400,0,1
2015-06-08,110.2699966430664,110.27999877929688,110.2699966430664,110.2699966430664,104.96092224121094,339900,0,1
2015-06-09,110.27999877929688,110.27999877929688,110.2699966430664,110.2699966430664,104.96092224121094,152900,0,1
2015-06-10,110.2699966430664,110.27999877929688,110.2699966430664,110.27999877929688,104.970458984375,256700,0,1
2015-06-11,110.27999877929688,110.29000091552734,110.2699966430664,110.29000091552734,104.97998046875,149600,0,1
2015-06-12,110.2699966430664,110.29000091552734,110.2699966430664,110.27999877929688,104.970458984375,443500,0,1
2015-06-15,110.2699966430664,110.27999877929688,110.2699966430664,110.2699966430664,104.96092224121094,321300,0,1
2015-06-16,110.2699966430664,110.29000091552734,110.2699966430664,110.2699966430664,104.96092224121094,159100,0,1
2015-06-17,110.29000091552734,110.29000091552734,110.2699966430664,110.29000091552734,104.97998046875,190400,0,1
2015-06-18,110.29000091552734,110.29000091552734,110.2699966430664,110.2699966430664,104.96092224121094,294000,0,1
2015-06-19,110.2699966430664,110.29000091552734,110.2699966430664,110.27999877929688,104.970458984375,183300,0,1
2015-06-22,110.27999877929688,110.29000091552734,110.27999877929688,110.27999877929688,104.970458984375,347300,0,1
2015-06-23,110.29000091552734,110.29000091552734,110.27999877929688,110.27999877929688,104.970458984375,262700,0,1
2015-06-24,110.27999877929688,110.29000091552734,110.27999877929688,110.27999877929688,104.970458984375,273000,0,1
2015-06-25,110.27999877929688,110.29000091552734,110.27999877929688,110.29000091552734,104.97998046875,126200,0,1
2015-06-26,110.27999877929688,110.29000091552734,110.2699966430664,110.2699966430664,104.96092224121094,248500,0,1
2015-06-29,110.29000091552734,110.29000091552734,110.27999877929688,110.27999877929688,104.970458984375,2436000,0,1
2015-06-30,110.27999877929688,110.29000091552734,110.27999877929688,110.29000091552734,104.97998046875,618300,0,1
2015-07-01,110.27999877929688,110.29000091552734,110.27999877929688,110.27999877929688,104.970458984375,453100,0,1
2015-07-02,110.27999877929688,110.30000305175781,110.27999877929688,110.29000091552734,104.97998046875,910100,0,1
2015-07-06,110.29000091552734,110.30000305175781,110.29000091552734,110.29000091552734,104.97998046875,555600,0,1
2015-07-07,110.29000091552734,110.30000305175781,110.29000091552734,110.29000091552734,104.97998046875,946300,0,1
2015-07-08,110.30000305175781,110.30999755859375,110.29000091552734,110.30999755859375,104.99901580810547,623000,0,1
2015-07-09,110.30000305175781,110.30999755859375,110.29000091552734,110.29000091552734,104.97998046875,337300,0,1
2015-07-10,110.29000091552734,110.30000305175781,110.29000091552734,110.29000091552734,104.97998046875,718900,0,1
2015-07-13,110.29000091552734,110.30000305175781,110.29000091552734,110.30000305175781,104.98948669433594,2830200,0,1
2015-07-14,110.30000305175781,110.30000305175781,110.29000091552734,110.30000305175781,104.98948669433594,387300,0,1
2015-07-15,110.29000091552734,110.30000305175781,110.29000091552734,110.30000305175781,104.98948669433594,1116400,0,1
2015-07-16,110.29000091552734,110.30000305175781,110.29000091552734,110.30000305175781,104.98948669433594,786400,0,1
2015-07-17,110.29000091552734,110.30000305175781,110.29000091552734,110.30000305175781,104.98948669433594,413600,0,1
2015-07-20,110.29000091552734,110.30000305175781,110.27999877929688,110.27999877929688,104.970458984375,1499600,0,1
2015-07-21,110.27999877929688,110.29000091552734,110.27999877929688,110.27999877929688,104.970458984375,517700,0,1
2015-07-22,110.27999877929688,110.29000091552734,110.27999877929688,110.27999877929688,104.970458984375,301600,0,1
2015-07-23,110.27999877929688,110.29000091552734,110.27999877929688,110.27999877929688,104.970458984375,328300,0,1
2015-07-24,110.27999877929688,110.29000091552734,110.27999877929688,110.29000091552734,104.97998046875,319100,0,1
2015-07-27,110.27999877929688,110.30000305175781,110.2699966430664,110.27999877929688,104.970458984375,1669500,0,1
2015-07-28,110.29000091552734,110.29000091552734,110.27999877929688,110.27999877929688,104.970458984375,353200,0,1
2015-07-29,110.2699966430664,110.29000091552734,110.2699966430664,110.27999877929688,104.970458984375,422100,0,1
2015-07-30,110.27999877929688,110.29000091552734,110.27999877929688,110.27999877929688,104.970458984375,428200,0,1
2015-07-31,110.27999877929688,110.29000091552734,110.2699966430664,110.2699966430664,104.96092224121094,422800,0,1
2015-08-03,110.27999877929688,110.29000091552734,110.27999877929688,110.27999877929688,104.970458984375,1086500,0,1
2015-08-04,110.29000091552734,110.29000091552734,110.2699966430664,110.2699966430664,104.96092224121094,416800,0,1
2015-08-05,110.2699966430664,110.29000091552734,110.2699966430664,110.27999877929688,104.970458984375,414000,0,1
2015-08-06,110.2699966430664,110.27999877929688,110.2699966430664,110.27999877929688,104.970458984375,653900,0,1
2015-08-07,110.27999877929688,110.27999877929688,110.2699966430664,110.27999877929688,104.970458984375,239700,0,1
2015-08-10,110.2699966430664,110.27999877929688,110.26000213623047,110.26000213623047,104.951416015625,954500,0,1
2015-08-11,110.26000213623047,110.2699966430664,110.26000213623047,110.2699966430664,104.96092224121094,849500,0,1
2015-08-12,110.2699966430664,110.2699966430664,110.26000213623047,110.26000213623047,104.951416015625,647400,0,1
2015-08-13,110.2699966430664,110.2699966430664,110.26000213623047,110.26000213623047,104.951416015625,141700,0,1
2015-08-14,110.2699966430664,110.2699966430664,110.26000213623047,110.26000213623047,104.951416015625,187000,0,1
2015-08-17,110.26000213623047,110.2699966430664,110.26000213623047,110.26000213623047,104.951416015625,181900,0,1
2015-08-18,110.26000213623047,110.2699966430664,110.26000213623047,110.26000213623047,104.951416015625,180100,0,1
2015-08-19,110.2699966430664,110.2699966430664,110.26000213623047,110.26000213623047,104.951416015625,433800,0,1
2015-08-20,110.26000213623047,110.27999877929688,110.26000213623047,110.27999877929688,104.970458984375,477500,0,1
2015-08-21,110.2699966430664,110.27999877929688,110.2699966430664,110.2699966430664,104.96092224121094,2146700,0,1
2015-08-24,110.29000091552734,110.30999755859375,110.2699966430664,110.29000091552734,104.97998046875,1705100,0,1
2015-08-25,110.29000091552734,110.30000305175781,110.2699966430664,110.27999877929688,104.970458984375,9542300,0,1
2015-08-26,110.27999877929688,110.29000091552734,110.2699966430664,110.27999877929688,104.970458984375,1127400,0,1
2015-08-27,110.29000091552734,110.29000091552734,110.2699966430664,110.27999877929688,104.970458984375,725800,0,1
2015-08-28,110.29000091552734,110.29000091552734,110.26000213623047,110.2699966430664,104.96092224121094,991800,0,1
2015-08-31,110.27999877929688,110.27999877929688,110.2699966430664,110.27999877929688,104.970458984375,2424200,0,1
2015-09-01,110.27999877929688,110.29000091552734,110.2699966430664,110.27999877929688,104.9714126586914,1531000,0,1
2015-09-02,110.27999877929688,110.29000091552734,110.27999877929688,110.27999877929688,104.9714126586914,2134700,0,1
2015-09-03,110.29000091552734,110.29000091552734,110.27999877929688,110.29000091552734,104.9809341430664,839100,0,1
2015-09-04,110.29000091552734,110.29000091552734,110.27999877929688,110.29000091552734,104.9809341430664,417600,0,1
2015-09-08,110.27999877929688,110.29000091552734,110.2699966430664,110.27999877929688,104.9714126586914,1933000,0,1
2015-09-09,110.2699966430664,110.27999877929688,110.26000213623047,110.27999877929688,104.9714126586914,1642900,0,1
2015-09-10,110.27999877929688,110.27999877929688,110.26000213623047,110.26000213623047,104.9523696899414,526100,0,1
2015-09-11,110.26000213623047,110.27999877929688,110.26000213623047,110.26000213623047,104.9523696899414,466900,0,1
2015-09-14,110.26000213623047,110.2699966430664,110.26000213623047,110.2699966430664,104.96188354492188,913100,0,1
2015-09-15,110.26000213623047,110.2699966430664,110.23999786376953,110.23999786376953,104.93329620361328,702000,0,1
2015-09-16,110.23999786376953,110.26000213623047,110.23999786376953,110.26000213623047,104.9523696899414,498700,0,1
2015-09-17,110.25,110.33000183105469,110.22000122070312,110.25,104.9428482055664,789000,0,1
2015-09-18,110.27999877929688,110.30000305175781,110.2699966430664,110.30000305175781,104.99043273925781,955300,0,1
2015-09-21,110.29000091552734,110.30000305175781,110.29000091552734,110.29000091552734,104.9809341430664,683700,0,1
2015-09-22,110.30000305175781,110.30999755859375,110.29000091552734,110.30000305175781,104.99043273925781,846600,0,1
2015-09-23,110.30000305175781,110.30999755859375,110.30000305175781,110.30000305175781,104.99043273925781,498000,0,1
2015-09-24,110.30999755859375,110.31999969482422,110.30000305175781,110.30000305175781,104.99043273925781,592700,0,1
2015-09-25,110.31999969482422,110.31999969482422,110.30000305175781,110.31999969482422,105.00944519042969,287400,0,1
2015-09-28,110.31999969482422,110.31999969482422,110.30999755859375,110.30999755859375,104.99995422363281,817300,0,1
2015-09-29,110.31999969482422,110.31999969482422,110.30999755859375,110.30999755859375,104.99995422363281,1863100,0,1
2015-09-30,110.30999755859375,110.31999969482422,110.30999755859375,110.30999755859375,104.99995422363281,563300,0,1
